shopid,buyerid,register_date,country
2230,1024,12/10/2021,ID
2087,4678,9/19/2021,SZ
2830,2693,5/3/2019,SG
2812,3421,10/14/2020,MY
2532,3668,5/10/2020,MY
2890,4073,6/3/2019,PH
2008,2370,12/5/2021,SG
2195,2365,12/26/2021,SG
2335,2967,11/3/2020,SG
2085,1145,8/6/2020,ID
2710,1394,3/25/2019,ID
2886,3641,6/1/2018,MY
2503,4245,6/13/2021,PH
2921,2573,7/16/2019,SG
2819,4357,1/31/2018,PH
2479,2779,6/19/2018,SG
2918,1356,4/13/2018,ID
2313,1460,6/25/2018,ID
2843,1312,11/1/2021,ID
2311,3235,3/15/2019,MY
2619,1368,11/28/2020,ID
2175,4649,1/8/2021,SZ
2014,2999,11/25/2020,SG
2294,1883,6/13/2021,ID
2236,4852,9/17/2018,SZ
2181,2416,3/26/2021,SG
2692,3431,2/14/2020,MY
2030,2391,12/1/2020,SG
2427,2338,5/28/2018,SG
2209,1296,11/3/2019,ID
2164,1643,9/30/2019,ID
2812,4010,12/29/2021,PH
2661,1895,1/25/2020,ID
2214,4530,3/20/2019,SZ
2472,2558,5/25/2020,SG
2065,2935,6/8/2019,SG
2519,1819,4/9/2018,ID
2000,4470,2/28/2020,PH
2921,2664,10/20/2021,SG
2892,4197,3/7/2020,PH
2371,4861,9/1/2019,SZ
2360,3987,8/30/2020,MY
2074,2663,5/30/2018,SG
2239,4072,1/8/2021,PH
2640,4452,8/7/2021,PH
2875,4445,10/17/2018,PH
2121,1527,10/10/2020,ID
2352,4304,10/8/2021,PH
2333,2896,4/23/2020,SG
2902,3549,5/5/2021,MY
2873,4716,8/2/2020,SZ
2879,3632,7/25/2021,MY
2087,3520,12/24/2020,MY
2923,4924,5/8/2019,SZ
2475,1214,6/28/2020,ID
2432,3516,3/4/2021,MY
2689,3655,2/28/2018,MY
2968,1999,1/1/2018,ID
2382,3731,8/20/2018,MY
2177,3041,2/3/2018,MY
2476,1902,5/18/2021,ID
2303,3063,8/20/2018,MY
2336,4600,12/18/2018,SZ
2327,3069,8/23/2021,MY
2394,3780,12/28/2021,MY
2786,2425,8/30/2018,SG
2603,3207,5/12/2018,MY
2776,2574,6/23/2018,SG
2911,3315,12/25/2021,MY
2749,1659,11/25/2021,ID
2279,1912,10/23/2018,ID
2097,3920,10/10/2018,MY
2932,3993,1/22/2020,MY
2025,2575,11/21/2018,SG
2458,2916,7/30/2018,SG
2715,1477,12/27/2021,ID
2979,3632,8/19/2020,MY
2207,2731,2/7/2021,SG
2045,1809,1/1/2020,ID
2081,2444,12/7/2018,SG
2834,3046,11/28/2018,MY
2516,3505,3/19/2019,MY
2307,1580,7/3/2018,ID
2077,1484,5/3/2020,ID
2332,4802,3/3/2018,SZ
2472,4699,12/3/2018,SZ
2183,2273,1/2/2018,SG
2051,3375,5/29/2019,MY
2068,4489,8/3/2018,PH
2290,4879,2/26/2018,SZ
2151,4803,4/16/2021,SZ
2977,1705,12/25/2019,ID
2672,1018,8/23/2021,ID
2366,2082,5/14/2018,SG
2841,3196,6/14/2020,MY
2933,2911,1/3/2018,SG
2948,2081,8/12/2019,SG
2585,4694,4/24/2021,SZ
2026,3649,9/14/2019,MY
2594,4263,4/30/2018,PH
2790,4911,11/19/2018,SZ
2708,1505,9/5/2020,ID
2921,1655,4/12/2018,ID
2327,2030,11/23/2020,SG
2988,4168,11/16/2020,PH
2001,2626,7/7/2021,SG
2793,3249,4/29/2018,MY
2825,3667,3/19/2019,MY
2279,3048,2/18/2018,MY
